epoch,split,loss,acc,macro_f1,auc_ovr_macro
1,train,2.922187831343674,0.23117354740061163,,
1,val,2.692243840959337,0.3212202781516375,0.05971178103093391,0.7901282110820884
2,train,2.669443409617354,0.3251146788990826,,
2,val,2.520496884981791,0.44010767160161507,0.10955332426927379,0.8546393179881991
3,train,2.5217649006262057,0.3793960244648318,,
3,val,2.394962257809109,0.47106325706594887,0.14613942115722722,0.8821216286549178
4,train,2.4146661409517614,0.42182721712538224,,
4,val,2.2790154152446322,0.5181695827725438,0.19791714205233685,0.8979276985410746
5,train,2.368286126997413,0.4286123853211009,,
5,val,2.227397236559126,0.5383580080753702,0.22450724894520852,0.9078566958718277
6,train,1.966694878368843,0.5649847094801224,,
6,val,1.499101499716441,0.7128757290264692,0.5075876861262787,0.9646715504042492
7,train,1.65423252379022,0.6617928134556575,,
7,val,1.429823832379447,0.7294751009421265,0.5783188343462561,0.9679888954592889
8,train,1.5388157396781734,0.7057530581039755,,
8,val,1.357567720943027,0.753252579632122,0.6316597413282546,0.9701105042926552
9,train,1.4383423582809727,0.7544915902140673,,
9,val,1.2619588904910617,0.7963212202781517,0.7207528596666039,0.9789687676409445
10,train,1.4357876232484492,0.7315558103975535,,
10,val,1.2685129079553816,0.7927321668909825,0.7216460794770386,0.9784659497036442
11,train,1.3255093977218722,0.7909977064220184,,
11,val,1.278795795308219,0.7873485868102288,0.7128352899942428,0.9794792961282941
12,train,1.2188869329487406,0.8040902140672783,,
12,val,1.2463008165359497,0.7963212202781517,0.7255020804541031,0.9762924647924095
13,train,1.286852973990324,0.799789755351682,,
13,val,1.24078482720587,0.7985643786451323,0.7291435395054868,0.9758011803378519
14,train,1.246375635629747,0.8096330275229358,,
14,val,1.2363149126370747,0.8034993270524899,0.7420757983428812,0.976283322046334
15,train,1.277769362781106,0.779243119266055,,
15,val,1.2989843785762787,0.7904890085240018,0.7389025845610884,0.9788858472196392
16,train,1.1867895736926939,0.8441322629969419,,
16,val,1.2408613529470232,0.8088829071332436,0.7483262211447943,0.977133089117959
17,train,1.159867812947529,0.8369648318042814,,
17,val,1.2472725345028772,0.8052938537460744,0.7468087433826823,0.9727902762280661
18,train,1.1654968283525327,0.7972094801223242,,
18,val,1.1970148616366916,0.8192014356213548,0.7816731655359213,0.9768237462138178
19,train,1.117113239881469,0.8436544342507645,,
19,val,1.202011075284746,0.8075370121130552,0.7642206802375712,0.9776435513498228
20,train,1.0811750103787678,0.8523509174311926,,
20,val,1.2089265286922455,0.8183041722745625,0.7687503916005856,0.9778260425217714
21,train,1.1069729495339278,0.8674503058103975,,
21,val,1.2246516512499914,0.8088829071332436,0.756359676163035,0.9768957554143138
22,train,1.12828883601398,0.8359136085626911,,
22,val,1.20513254404068,0.8178555406011665,0.7682374314836439,0.9775262742330203
23,train,1.1055558018568086,0.8258792048929664,,
23,val,1.2216428286499448,0.8017048003589053,0.7598357628742031,0.9748473591154253
24,train,1.1718648497651263,0.8189029051987767,,
24,val,1.2753764258490667,0.7936294302377748,0.7531329882381471,0.9716180640041261
25,train,1.0934815828393145,0.8524464831804281,,
25,val,1.274327490064833,0.7967698519515478,0.7620628436006256,0.96951323328023
26,train,1.1020715847247984,0.8409785932721713,,
26,val,1.2038521203729842,0.8111260655002244,0.7634530373073471,0.9755234074695746
27,train,1.093716488378804,0.8426987767584098,,
27,val,1.1981862054930792,0.8209959623149394,0.760415312653995,0.9738562155460041
28,train,1.0011654932324479,0.9094036697247706,,
28,val,1.2243678172429402,0.8084342754598475,0.7647068917537984,0.972952032348971
29,train,1.0741524485553182,0.8527331804281345,,
29,val,1.2259573141733806,0.8106774338268282,0.759267989680972,0.9743355170571845
