epoch,split,loss,acc,macro_f1,auc_ovr_macro
1,train,2.8510551568938465,0.2705466360856269,,
1,val,2.396285798814562,0.43427545984746524,0.12944006763775046,0.8286614092831304
2,train,2.4901821787764384,0.39803134556574926,,
2,val,2.1627903315756054,0.5114401076716016,0.21461378987818758,0.8901506677391813
3,train,2.320104330051236,0.44495412844036697,,
3,val,2.029097855091095,0.5536114849708389,0.28458421600592204,0.9141254146570771
4,train,2.1982412992454154,0.49713302752293576,,
4,val,1.9393335448371039,0.5787348586810229,0.32488144347621345,0.9254898564893838
5,train,2.1737505095760996,0.4806957186544342,,
5,val,1.8813549412621393,0.5966801256168686,0.3565292803527592,0.9327749462826957
6,train,3.005487777837893,0.2286888379204893,,
6,val,2.7757974598142834,0.28667563930013457,0.035526737645213274,0.6712455170148567
7,train,2.7590350726755655,0.31154434250764523,,
7,val,2.5187516344918146,0.39030955585464333,0.07781575486442975,0.7867229446096746
8,train,2.5926342010498047,0.3581804281345566,,
8,val,2.3053958349757724,0.4347240915208614,0.11794460022177414,0.8566430850394394
9,train,2.461887795750688,0.39201070336391436,,
9,val,2.1162713766098022,0.4997756841633019,0.17320625563564188,0.8868857743870701
10,train,2.341001669081246,0.43367737003058104,,
10,val,2.03576252857844,0.5356662180349933,0.2141469041911804,0.9147164294846657
11,train,2.1907188092789998,0.485282874617737,,
11,val,1.8437715570131938,0.5895020188425303,0.2856496587633928,0.9299531800323485
12,train,2.01517801749997,0.5302943425076453,,
12,val,1.7751615577273898,0.6249439210408255,0.39967987845519287,0.9394816096909739
13,train,2.0239598431238313,0.54032874617737,,
13,val,1.7029617296324835,0.639300134589502,0.4382752104664803,0.9469249491607373
14,train,1.917915238112938,0.5756880733944955,,
14,val,1.5982271035512288,0.6756393001345895,0.5018441063186299,0.9550333402164705
15,train,1.916862551758929,0.5656536697247706,,
15,val,1.5855756137106154,0.6913414087034545,0.557187153369806,0.9558261668590462
16,train,1.7733512884233056,0.6352255351681957,,
16,val,1.6195260749922857,0.6702557200538358,0.5054168708527065,0.9538908132678986
17,train,1.743659183746431,0.639717125382263,,
17,val,1.4950074553489685,0.71511888739345,0.5775535307090185,0.9610943516199384
18,train,1.6999118909603212,0.6273891437308868,,
18,val,1.525308244758182,0.702557200538358,0.5789588106147706,0.9622898198636939
19,train,1.6213968090894746,0.6702981651376146,,
19,val,1.507216797934638,0.7110812023328847,0.5832560066717122,0.9631579422520714
20,train,1.5681067894144756,0.6826261467889908,,
20,val,1.469306018617418,0.7196052041274114,0.6002116093189529,0.9669620907582942
21,train,1.5779838184031045,0.7050840978593272,,
21,val,1.457118855582343,0.724540152534769,0.6087150897630642,0.9649495501118803
22,train,1.5632824170880202,0.6933295107033639,,
22,val,1.3940035568343268,0.7483176312247645,0.663500134905893,0.9705203519611181
23,train,1.5254122040620663,0.6924694189602446,,
