epoch,split,loss,acc,macro_f1,auc_ovr_macro
1,train,2.962217086698951,0.21913226299694188,,
1,val,2.4916766617033215,0.40511440107671604,0.10653876112619866,0.8082361780238394
2,train,2.5708725307045914,0.3636276758409786,,
2,val,2.215857512421078,0.5074024226110363,0.20577727218988795,0.8849279460670292
3,train,2.379377237180384,0.41810015290519875,,
3,val,2.0436834163135953,0.5522655899506506,0.2671063480908659,0.9125230269531562
4,train,2.242547029402198,0.4776376146788991,,
4,val,1.9415938258171082,0.5737999102736653,0.32186807188954264,0.9266157856959168
5,train,2.197242997041563,0.4775420489296636,,
5,val,1.8756961292690701,0.5903992821893226,0.3570401876563514,0.9341010154980808
6,train,1.955604579390549,0.5802752293577982,,
6,val,1.4270706242985196,0.7353073126962764,0.5530871581294645,0.9700309314874329
7,train,1.6454446519293435,0.6708715596330275,,
7,val,1.3018382390340169,0.768954688200987,0.6458084203422918,0.9779646830915671
8,train,1.537633683623337,0.7179854740061162,,
8,val,1.2502474221918318,0.7963212202781517,0.7191193184170721,0.9804361872600811
9,train,1.4183671343617323,0.7586964831804281,,
9,val,1.1652690470218658,0.8192014356213548,0.7625396009554033,0.9869354995969748
10,train,1.4020878134704218,0.7533448012232415,,
10,val,1.1623446941375732,0.819650067294751,0.7612035162076335,0.9845781556205614
11,train,1.2852429616742018,0.8008409785932722,,
11,val,1.1670432289441426,0.8192014356213548,0.756332967945992,0.9842448776225855
12,train,1.1822864573176315,0.8188073394495413,,
12,val,1.1238578028149075,0.8236877523553163,0.7750074154434293,0.9863171262680184
13,train,1.267218258322739,0.8090596330275229,,
13,val,1.1537610391775768,0.8331090174966352,0.7860910361979161,0.9821470407976385
14,train,1.2128561197257623,0.8185206422018348,,
14,val,1.1359301275677152,0.8286227007626739,0.7809102898911277,0.9853349948822656
15,train,1.2345419504293582,0.7889908256880734,,
15,val,1.1746821701526642,0.8223418573351279,0.7896921346203051,0.9839758185821682
16,train,1.142486498850148,0.8563646788990825,,
16,val,1.1402659548653498,0.8245850157021085,0.7883539150376052,0.9853569163287776
17,train,1.127643297358257,0.8471903669724771,,
17,val,1.1799857219060261,0.8151637505607896,0.7753252182469447,0.981801447710936
18,train,1.1277662639210864,0.8107798165137615,,
18,val,1.1372681326336331,0.8335576491700314,0.8054629510692168,0.9845755054177484
19,train,1.0808482853377737,0.8478593272171254,,
19,val,1.1425951719284058,0.8407357559443697,0.7990181781096456,0.9778585688198617
20,train,1.0337327377098362,0.8638188073394495,,
20,val,1.1609072751469083,0.8308658591296546,0.8026254263545113,0.9833311200660854
21,train,1.077544341000115,0.8758600917431193,,
21,val,1.152862399816513,0.8380439659039928,0.7970420438971744,0.9818983737123018
22,train,1.084826244086754,0.8534977064220184,,
22,val,1.1546257370048099,0.8411843876177658,0.8034193843398718,0.9815285766428876
23,train,1.0735033125412174,0.8413608562691132,,
23,val,1.1551145613193512,0.8362494392104083,0.8066559086073709,0.9837893463841717
24,train,1.1448055651129745,0.8267392966360856,,
24,val,1.1645567350917392,0.8358008075370121,0.7933891011636487,0.9853018212091388
25,train,1.059512701703281,0.8648700305810397,,
25,val,1.1447100506888495,0.8389412292507851,0.8106799556078328,0.984151709653205
26,train,1.0820453152423952,0.8471903669724771,,
26,val,1.1556305785973866,0.841633019291162,0.805648722158576,0.9816764228814245
27,train,1.0681386684499137,0.8496750764525994,,
27,val,1.1794853309790294,0.8223418573351279,0.77754487460587,0.9857064342056525
28,train,0.9668165903265883,0.9216360856269113,,
28,val,1.151992489894231,0.8384925975773889,0.8022856862748414,0.9808593514731112
29,train,1.0556499849005443,0.8542622324159022,,
29,val,1.1881820956865947,0.8331090174966352,0.7924682493875154,0.9788484586235597
30,train,1.1354751659602653,0.8232989296636085,,
30,val,1.1905383467674255,0.8245850157021085,0.7854434958252746,0.9785159720196364
31,train,1.0011768929842042,0.9004204892966361,,
31,val,1.2007544934749603,0.8326603858232391,0.7827483260440471,0.9776750001679222
32,train,1.0442545973673099,0.8722285932721713,,
32,val,1.1576958894729614,0.8456707043517272,0.8128730034113588,0.9766462256593361
33,train,0.9841526870320483,0.8748088685015291,,
33,val,1.1871332724889119,0.835352175863616,0.7955149397351007,0.9752111388436489
34,train,1.0304456418607293,0.8469992354740061,,
34,val,1.1817218893104129,0.8331090174966352,0.7961118548742818,0.9817690488997484
35,train,1.0264245889535764,0.8850344036697247,,
35,val,1.1328080528312259,0.8443248093315389,0.8053347949432883,0.9771938716472978
36,train,1.0101092043446331,0.8660168195718655,,
36,val,1.1691450277964275,0.8366980708838044,0.7941853297391653,0.9768449044674009
37,train,1.0394379656489303,0.8765290519877675,,
37,val,1.1573368774520025,0.8470165993719156,0.8055372818243449,0.9793430757496178
38,train,1.0297941761772806,0.8545489296636085,,
38,val,1.2072248260180156,0.8393898609241812,0.7953851107318124,0.9733270764112248
39,train,0.973394950715507,0.8813073394495413,,
39,val,1.1869567301538255,0.8389412292507851,0.7937042396177024,0.9738070444417727
40,train,1.0034276668618365,0.8868501529051988,,
40,val,1.1604734659194946,0.8429789143113504,0.812464761847281,0.9749373405005396
