label,split,field,n_total,n_nonmissing,missing_rate,mean,p25,p50,p75,min,max
Collectible Minifigures,train,year,562,562,0.0,2016.9804270462635,2014.0,2017.0,2020.0,2010.0,2025.0
Collectible Minifigures,train,year_released,562,562,0.0,2016.9804270462635,2014.0,2017.0,2020.0,2010.0,2025.0
Collectible Minifigures,train,current_value_new_eur,562,562,0.0,7.095355871886121,4.0425,5.45,8.0775,0.72,36.17
Collectible Minifigures,train,current_value_used_eur,562,562,0.0,4.544768683274021,2.5625,3.385,4.99,0.33,84.68
Collectible Minifigures,val,year,120,120,0.0,2017.1583333333333,2013.0,2017.0,2020.0,2010.0,2025.0
Collectible Minifigures,val,year_released,120,120,0.0,2017.1583333333333,2013.0,2017.0,2020.0,2010.0,2025.0
Collectible Minifigures,val,current_value_new_eur,120,120,0.0,49.88491666666666,3.77,5.105,8.32,1.97,5146.87
Collectible Minifigures,val,current_value_used_eur,120,120,0.0,15.266083333333333,2.4175,3.175,4.985,1.32,1285.61
Collectible Minifigures,test,year,122,122,0.0,2016.827868852459,2013.0,2016.0,2020.0,2010.0,2025.0
Collectible Minifigures,test,year_released,122,122,0.0,2016.827868852459,2013.0,2016.0,2020.0,2010.0,2025.0
Collectible Minifigures,test,current_value_new_eur,122,122,0.0,7.41016393442623,3.8674999999999997,5.505,8.84,1.99,42.91
Collectible Minifigures,test,current_value_used_eur,122,122,0.0,4.439590163934426,2.6625,3.4299999999999997,4.890000000000001,1.56,22.45
DREAMZzz,train,year,78,78,0.0,2024.1666666666667,2023.0,2024.0,2025.0,2023.0,2026.0
DREAMZzz,train,year_released,78,78,0.0,2024.1666666666667,2023.0,2024.0,2025.0,2023.0,2026.0
DREAMZzz,train,current_value_new_eur,78,74,0.05128205128205128,5.321891891891892,2.655,4.045,5.99,1.27,21.15
DREAMZzz,train,current_value_used_eur,78,57,0.2692307692307692,3.5901754385964915,2.01,3.02,4.25,0.99,10.41
DREAMZzz,val,year,16,16,0.0,2024.25,2024.0,2024.0,2025.0,2023.0,2026.0
DREAMZzz,val,year_released,16,16,0.0,2024.25,2024.0,2024.0,2025.0,2023.0,2026.0
DREAMZzz,val,current_value_new_eur,16,16,0.0,6.8325,2.725,4.03,6.6325,1.8,30.73
DREAMZzz,val,current_value_used_eur,16,13,0.1875,4.00076923076923,2.12,2.3,3.37,0.83,21.33
DREAMZzz,test,year,18,18,0.0,2024.5,2024.0,2025.0,2025.0,2023.0,2026.0
DREAMZzz,test,year_released,18,18,0.0,2024.5,2024.0,2025.0,2025.0,2023.0,2026.0
DREAMZzz,test,current_value_new_eur,18,17,0.05555555555555555,7.068235294117647,2.72,4.07,8.5,1.83,28.57
DREAMZzz,test,current_value_used_eur,18,12,0.3333333333333333,3.9525,2.515,2.925,4.3774999999999995,1.29,9.25
DUPLO,train,year,690,690,0.0,2005.5057971014494,1996.0,2005.0,2017.0,1976.0,2025.0
DUPLO,train,year_released,690,690,0.0,2005.5057971014494,1996.0,2005.0,2017.0,1976.0,2025.0
DUPLO,train,current_value_new_eur,690,437,0.36666666666666664,3.97370709382151,1.89,2.74,4.37,0.3,47.99
DUPLO,train,current_value_used_eur,690,644,0.06666666666666667,2.8500155279503105,1.01,1.67,3.12,0.03,33.72
DUPLO,val,year,148,148,0.0,2004.1486486486488,1994.0,2004.0,2016.0,1976.0,2025.0
DUPLO,val,year_released,148,148,0.0,2004.1486486486488,1994.0,2004.0,2016.0,1976.0,2025.0
DUPLO,val,current_value_new_eur,148,85,0.42567567567567566,3.578941176470588,1.69,2.53,3.99,0.16,21.57
DUPLO,val,current_value_used_eur,148,142,0.04054054054054054,2.262605633802817,0.9524999999999999,1.5750000000000002,2.4375,0.03,29.5
DUPLO,test,year,149,149,0.0,2006.5704697986578,1996.0,2007.0,2016.0,1976.0,2025.0
DUPLO,test,year_released,149,149,0.0,2006.5704697986578,1996.0,2007.0,2016.0,1976.0,2025.0
DUPLO,test,current_value_new_eur,149,91,0.38926174496644295,4.874065934065935,1.895,2.83,5.34,0.73,40.08
DUPLO,test,current_value_used_eur,149,125,0.1610738255033557,3.8223200000000004,1.02,1.67,3.69,0.3,98.78
Disney,train,year,262,262,0.0,2021.0114503816794,2020.0,2021.5,2023.0,2000.0,2026.0
Disney,train,year_released,262,262,0.0,2021.0114503816794,2020.0,2021.5,2023.0,2000.0,2026.0
Disney,train,current_value_new_eur,262,261,0.003816793893129771,6.578314176245211,2.98,4.63,7.46,0.44,64.17
Disney,train,current_value_used_eur,262,237,0.09541984732824428,6.886666666666667,2.17,3.94,5.95,0.35,469.48
Disney,val,year,56,56,0.0,2021.1785714285713,2020.0,2022.0,2024.0,2000.0,2025.0
Disney,val,year_released,56,56,0.0,2021.1785714285713,2020.0,2022.0,2024.0,2000.0,2025.0
Disney,val,current_value_new_eur,56,56,0.0,6.6033928571428575,3.6399999999999997,5.15,8.817499999999999,1.01,20.2
Disney,val,current_value_used_eur,56,51,0.08928571428571429,5.587843137254902,2.54,4.8,6.775,0.72,21.09
Disney,test,year,57,57,0.0,2021.5263157894738,2019.0,2023.0,2024.0,2014.0,2025.0
Disney,test,year_released,57,57,0.0,2021.5263157894738,2019.0,2023.0,2024.0,2014.0,2025.0
Disney,test,current_value_new_eur,57,57,0.0,7.46561403508772,3.66,4.84,6.96,1.45,54.85
Disney,test,current_value_used_eur,57,50,0.12280701754385964,6.6636,2.8499999999999996,3.67,5.205,0.9,46.36
Friends,train,year,620,620,0.0,2020.2387096774194,2017.0,2021.0,2023.0,2012.0,2026.0
Friends,train,year_released,620,620,0.0,2020.2387096774194,2017.0,2021.0,2023.0,2012.0,2026.0
Friends,train,current_value_new_eur,620,611,0.014516129032258065,2.150785597381342,1.455,1.84,2.465,0.42,21.58
Friends,train,current_value_used_eur,620,565,0.08870967741935484,1.574566371681416,1.16,1.36,1.73,0.38,6.37
Friends,val,year,133,133,0.0,2020.3007518796992,2018.0,2021.0,2023.0,2012.0,2026.0
Friends,val,year_released,133,133,0.0,2020.3007518796992,2018.0,2021.0,2023.0,2012.0,2026.0
Friends,val,current_value_new_eur,133,132,0.007518796992481203,2.2290151515151515,1.4725,1.81,2.295,0.64,12.26
Friends,val,current_value_used_eur,133,122,0.08270676691729323,1.6817213114754097,1.1925,1.4449999999999998,1.8425000000000002,0.68,7.84
Friends,test,year,134,134,0.0,2020.0820895522388,2017.0,2021.0,2023.75,2012.0,2026.0
Friends,test,year_released,134,134,0.0,2020.0820895522388,2017.0,2021.0,2023.75,2012.0,2026.0
Friends,test,current_value_new_eur,134,131,0.022388059701492536,2.241832061068702,1.59,2.05,2.6550000000000002,0.3,7.69
